ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field CommaSeparator=\"TRUE\" CustomUnitOnRight=\"TRUE\" DisplayName=\"Day\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"Day\" Percentage=\"FALSE\" Title=\"Day\" Type=\"Number\" Unit=\"None\" ID=\"{635d441b-d4b3-4a40-8198-470b05c2e4fc}\" StaticName=\"Day\" />","<Field DisplayName=\"Headline\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Headline\" Title=\"Headline\" Type=\"Text\" ID=\"{cebf08db-81d8-4bb3-a62f-b977c24131c0}\" StaticName=\"Headline\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Daily Content\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"DailyContent\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Daily Content\" Type=\"Note\" ID=\"{89419b5a-f283-45e4-8aa6-14c52643b2fb}\" StaticName=\"DailyContent\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Prompt\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"Prompt\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt\" Type=\"Note\" ID=\"{224ae849-3eba-423c-ba51-48c3e3b91a3b}\" StaticName=\"Prompt\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Additional Information\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"AdditionalInformation\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Additional Information\" Type=\"Note\" ID=\"{16f87f0b-46ab-4d37-b219-b37e24a81157}\" StaticName=\"AdditionalInformation\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Prompt Link\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"PromptLink\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt Link\" Type=\"Note\" ID=\"{bbedab92-bcc3-42a8-bde6-ab79e8dedf9b}\" StaticName=\"PromptLink\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" DisplayName=\"Title\" Description=\"\" Name=\"LinkTitle\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" Type=\"Computed\" ReadOnly=\"TRUE\" FromBaseType=\"TRUE\" Width=\"150\" DisplayNameSrcField=\"Title\" Sealed=\"FALSE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Day","Headline","Daily Content","Prompt","Prompt Link","Additional Information"
"1","Let’s save time with Copilot. ","Welcome to the Great Copilot Journey! Through this 6-week interactive email series, you will learn about all the ways Microsoft 365 Copilot can empower you to be more efficient and creative, provide help with tedious tasks, and improve your workday to achieve more. Each week focuses on a different skill, and each day you’ll receive a single prompt to practice as you go through your day. It’s an easy and quick way to become a pro at using Copilot, one simple prompt at a time. 

Week 1 will start by using Copilot to give you something everyone could use in their day—more time. 

Ready? The first stop: Microsoft 365 Copilot Chat—the app that connects to your work data and files, as well as data from the web, to help you catch up, analyze, summarize, learn, and create. It’s the chat experience at the center of Copilot. Open Copilot Chat and practice this prompt throughout your day today: ","What’s the latest from /[person’s name] organized by emails, chats, and files?","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdVNU1tRm1NRE5tTFdRd1pEa3RORGcwTnkwNE5HUTFMVGt5TURBeU5tSmxZbUUyTkh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwiY2hhdFR5cGUiOiJ3b3JrIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTAtMzFUMTY6NTk6NTUuNTc0WiJ9LCJ2ZXJzaW9uIjoxLjF9?auth=2","This prompt works for projects as well. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"2","Catch up on meetings with Microsoft 365 Copilot. ","Today, you’ll learn how to catch up on meetings with Microsoft 365 Copilot. Open a meeting chat in Microsoft Teams, click the Copilot icon and practice this prompt on meetings throughout your day: ","Recap the topic of this meeting. ",,"You can also ask for action items or find out who said what. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"3","Understand documents in no time<br>with Microsoft 365 Copilot. ","Reading and understanding long documents can be time-consuming. Go to a Microsoft Word document, click on the Microsoft 365 Copilot icon and use this prompt throughout your day to quickly get the main takeaways of your documents: "," Summarize this document in three key points. ",,"Try this prompt in other apps like Microsoft PowerPoint as well. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"4","Write emails quickly with Microsoft 365 Copilot. ","When you only have a few minutes to respond to an email, Microsoft 365 Copilot has your back. Reply to an email thread in Microsoft Outlook, click the Copilot icon and practice this prompt throughout your day: "," Draft a reply to /[person’s name] asking them for [topic]. ",,"You can also draft a brand-new email with Copilot. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"5","Let's have some fun with Microsoft 365 Copilot! ","You made it through the first week of the Great Copilot Journey! Congratulations! Now it’s time to have some fun with Microsoft 365 Copilot and reflect on your week — open Microsoft 365 Copilot Chat and use this prompt: ","Summarize my week in the style of a comedy roast. ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRjM1kyTTFaakpoTFRRM1lUTXRORFEwTlMxaFlXTTVMVEU0TXpjM05ERXdaR1ZpTVh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTItMTVUMDE6NTI6NTQuODAyWiJ9LCJjaGF0VHlwZSI6IndvcmsiLCJ2ZXJzaW9uIjoxLjF9","Share this prompt (or your result) with your coworkers to brighten their day. 

Next week, we’ll learn how to use Copilot to kickstart your work. To learn more or see what’s ahead on your journey, visit https://aka.ms/GreatCopilotJourney. "
"6","Let's get creative with Microsoft 365 Copilot! ","Welcome back to week 2 of the Great Copilot Journey! This week, your journey will be all about supercharging your creativity and kickstarting your work with Microsoft 365 Copilot. Let’s open Microsoft 365 Copilot Chat and brainstorm with Copilot throughout your day with this prompt: ","Suggest 10 compelling titles for [topic, project, or /file]. ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRBeE1ERmlOR1UyTFRFMVlqVXRORFkwWWkxaFltWmhMV1F5WkdNMk5EaGlaakJpTlh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwiY2hhdFR5cGUiOiJ3b3JrIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTAtMzFUMTc6MDM6MjkuODA1WiJ9LCJ2ZXJzaW9uIjoxLjF9?auth=2","Copilot can help you brainstorm anything—try it out. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"7","Get a jumpstart on your work<br>with Microsoft 365 Copilot. ","Instead of starting with a blank page, let’s explore drafting a document with Microsoft 365 Copilot. Open a blank Microsoft Word document, click the Copilot icon and try prompts like the one below throughout your day: "," Create an FAQ based on /[file name]. ",,"Use prompts like this to draft reports, briefs or any type of document you need. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney."
"8","Quickly create draft decks with Microsoft 365 Copilot. ","Creating presentations in Microsoft PowerPoint is so much easier with the help of Microsoft 365 Copilot. Open a new presentation, click the Copilot icon, and practice this prompt: "," Create a presentation from /[file]. ",,"You can add more details to the prompt, and then edit and refine the deck as needed. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"9","Create images from scratch with Microsoft 365 Copilot. ","You don’t need to be a designer to create images. Microsoft 365 Copilot is here to help! Open Microsoft 365 Copilot Chat and get creative with this prompt: ","Design an image of a drawing of [a database in colored pencil]. Place the database on a pedestal. ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRWbVlUQXlOV1ZoTFRFd05qUXROREprTWkwNVl6QmtMV00wTWpOaVlXSTJZMlpsWTN4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwiY2hhdFR5cGUiOiJ3b3JrIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTEtMDFUMTg6Mzg6MTUuNjM0WiJ9LCJ2ZXJzaW9uIjoxLjF9?auth=2","Get creative with the style, colors and feel of your image. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"10","Pitch a project as a commercial<br>with Microsoft 365 Copilot ","Week 2 of the Great Copilot Journey is in the books! So, let’s have some fun with Microsoft 365 Copilot. Open Microsoft 365 Copilot Chat and use this prompt to create a funny ad script to pitch your favorite project: ","Create a clever elevator pitch for a movie idea to help me introduce [project] to my leadership team.","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkdVMU1UTTVNbVkzTFdSaVpHSXRORE15T1MxaE1USmtMVEkwT0RJNFl6VTBZak5qTm54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTItMTVUMDE6NTU6MTAuOTY3WiJ9LCJjaGF0VHlwZSI6IndvcmsiLCJ2ZXJzaW9uIjoxLjF9","Have some fun with this and share your result with your team. 

Next week, we’ll learn how to use Copilot to expand your expertise and gather insights. To learn more or see what’s ahead on your journey, visit https://aka.ms/GreatCopilotJourney. "
